word,ann1,ann2,ann3
Podpora,1,1,1
reformních,0,1,0
procesů,1,0,0
a,0,0,0
plnění,1,1,1
existujících,0,1,0
nařízení,0,0,0
posune,1,1,1
proces,1,0,0
vstupu,1,1,1
Turecka,0,0,0
"dopředu,",1,1,1
směrem,1,1,0
k,1,1,1
výhodám,0,0,0
pro,0,0,0
všechny,0,0,0
obyvatele,0,0,0
Turecka.,0,0,0
Přesto,0,0,0
závisí,0,0,0
pokrok,0,0,0
v,1,1,1
procesu,1,0,0
přistoupení,1,1,1
v,1,1,1
podstatné,0,0,0
míře,0,0,1
a,0,0,0
především,0,0,0
na,1,1,1
chování,1,1,1
Turecka.,0,0,0
člen,0,0,0
Komise.,0,0,0
Vážený,0,0,1
pane,0,0,0
"předsedo,",0,0,0
dovolte,0,1,0
mi,0,0,0
v,1,1,1
první,0,1,0
řadě,1,1,1
poblahopřát,0,0,0
pani,0,0,0
Oomenové-Ruijtenové,0,0,0
k,1,1,1
její,0,0,0
výstižné,0,0,0
zprávě,0,0,0
a,0,0,0
k,1,1,1
"návrhu,",0,0,0
který,0,0,0
je,0,0,0
důkladný,1,0,0
a,0,0,0
zároveň,0,1,0
spravedlivý.,1,0,0
Začátkem,1,0,0
tohoto,0,0,0
roku,0,0,0
prošlo,1,1,1
Turecko,0,0,0
velmi,0,0,0
náročným,0,0,0
obdobím,0,0,0
vážné,1,0,1
ústavní,0,0,0
krize,0,0,0
a,0,0,0
politického,0,0,0
napětí.,1,1,1
I,0,0,0
přes,1,1,1
tento,0,0,0
složitý,1,0,0
problém,0,0,0
uskutečnilo,1,1,0
Turecko,0,0,0
své,1,1,0
parlamentní,0,0,0
a,0,0,0
prezidentské,0,0,0
volby,0,0,0
v,1,1,1
duchu,1,1,1
demokratických,0,0,0
zásad,0,0,0
a,0,0,0
s,1,0,1
velmi,0,0,0
vysokou,1,0,1
účastí,0,0,0
obyvatelstva.,0,0,0
